division,server,dir,installOk,unitTotal,unitPassed,unitFailed,statementsPct,branchesPct,linesPct,functionsPct,acceptanceTotal,acceptancePassed,acceptanceFailed,acceptanceFlaky,acceptanceSkipped,notes
config-valid,alpha,dist/distributedValid/alpha-test-server,true,172,172,0,79.84,68.67,84.06,83.6,5,5,0,0,0,
config-valid,beta,dist/distributedValid/beta-test-server,true,172,172,0,79.25,68.67,83.3,82.92,5,5,0,0,0,
config-valid,gamma,dist/distributedValid/gamma-test-server,true,172,172,0,79.49,68.67,83.59,82.92,5,5,0,0,0,
